T  	 	 mu 	 	 sigma 	 	 H 	 	 err
0.260001	 	0.25186	 	0.659699	 	 0.0555027	 	0.0075387
0.257401	 	0.26555	 	1.23163	 	 0.0531821	 	0.0212154
0.254827	 	0.491465	 	0.753188	 	 -0.256406	 	0.00482166
0.252278	 	0.507783	 	0.670897	 	 -0.230695	 	0.00416758
0.249756	 	0.6285	 	1.10535	 	 0.0925139	 	0.0219119
0.247258	 	0.483741	 	1.00919	 	 -0.191439	 	0.012473
0.244785	 	0.331906	 	0.623544	 	 0.0397769	 	0.00644317
0.242338	 	0.21764	 	1.10132	 	 -0.185513	 	0.0146739
0.239914	 	0.409437	 	0.734669	 	 -0.1901	 	0.00509298
0.237515	 	0.614369	 	0.529805	 	 -0.270247	 	0.00461014
0.23514	 	0.614697	 	1.01655	 	 -0.120097	 	0.017024
0.232789	 	0.0938769	 	0.948344	 	 -0.233796	 	0.00560972
0.230461	 	0.360482	 	1.13236	 	 -0.112674	 	0.0184634
0.228156	 	0.626435	 	0.698746	 	 -0.344539	 	0.00413053
0.225875	 	0.0409583	 	0.89592	 	 -0.203055	 	0.00500568
0.223616	 	0.487966	 	1.07853	 	 -0.108632	 	0.0176615
0.22138	 	0.408949	 	0.723792	 	 -0.173611	 	0.00435014
0.219166	 	0.29757	 	1.06911	 	 -0.204024	 	0.0116829
0.216974	 	0.805334	 	0.612724	 	 -0.447447	 	0.00226944
0.214804	 	1.07168	 	0.663959	 	 -0.0768328	 	0.0113628
0.212656	 	0.864135	 	0.509377	 	 -0.294385	 	0.00662668
0.21053	 	0.427508	 	1.1331	 	 -0.0489803	 	0.0208475
0.208425	 	0.443409	 	0.881658	 	 -0.262147	 	0.00567259
0.20634	 	0.583529	 	0.909665	 	 -0.250549	 	0.0100417
0.204277	 	0.531098	 	0.952301	 	 -0.2348	 	0.0108482
0.202234	 	0.151465	 	0.73809	 	 -0.0158377	 	0.00569584
0.200212	 	0.306748	 	0.81859	 	 -0.196689	 	0.00476763
0.19821	 	0.0425732	 	0.807206	 	 -0.120773	 	0.0055828
0.196228	 	0.554537	 	0.967749	 	 -0.238459	 	0.0100962
0.194265	 	0.0350219	 	1.06595	 	 -0.228957	 	0.0107138
0.192323	 	0.498139	 	0.62515	 	 -0.184964	 	0.00414386
0.190399	 	0.411404	 	0.814248	 	 -0.233924	 	0.00502393
0.188495	 	0.386913	 	0.779883	 	 -0.203585	 	0.00455262
0.18661	 	0.441383	 	0.991733	 	 -0.241383	 	0.00991436
0.184744	 	0.657585	 	0.973922	 	 -0.14078	 	0.0152235
0.182897	 	0.876124	 	0.4304	 	 0.0842295	 	0.00884245
0.181068	 	0.862817	 	0.721696	 	 -0.345931	 	0.00847144
0.179257	 	1.20174	 	0.681185	 	 0.445631	 	0.0180143
0.177465	 	0.446355	 	0.941176	 	 -0.257555	 	0.00978335
0.17569	 	0.786731	 	0.538116	 	 -0.378429	 	0.00428763
