#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         327    -3.78339    -3.92727   0.0104737
         328    -3.83562    -3.92699   0.0104455
         329    -3.75249    -3.92646   0.0104272
         330    -3.72297    -3.92585   0.0104139
         331    -3.76025    -3.92535   0.0103944
         332    -3.76582    -3.92487   0.0103742
         333     -3.8985    -3.92479   0.0103434
         334    -3.85258    -3.92457   0.0103146
         335    -3.90241     -3.9245   0.0102841
         336    -3.79965    -3.92413   0.0102602
         337    -3.80162    -3.92377   0.0102362
         338    -3.88749    -3.92366   0.0102064
         339     -3.8696     -3.9235   0.0101776
         340     -3.8096    -3.92317   0.0101532
         341    -3.84307    -3.92293   0.0101261
         342    -3.87729     -3.9228   0.0100974
         343    -3.81574    -3.92249   0.0100728
         344     -3.8088    -3.92216   0.0100489
         345    -3.78696    -3.92176   0.0100274
         346    -3.71104    -3.92116   0.0100169
         347    -3.76157     -3.9207  0.00999859
         348    -3.83678    -3.92045  0.00997277
         349    -3.79703     -3.9201  0.00995046
         350    -3.88162    -3.91999  0.00992264
         351    -3.82154    -3.91971  0.00989833
         352    -3.72784    -3.91917  0.00988521
         353    -3.74155    -3.91866     0.00987
         354    -3.77493    -3.91826  0.00985047
         355    -3.83661    -3.91803  0.00982541
         356    -3.92583    -3.91805  0.00979783
         357    -3.92765    -3.91807  0.00977042
         358    -3.98782    -3.91827  0.00974507
         359     -4.0034    -3.91851  0.00972081
         360     -3.8797     -3.9184  0.00969441
         361    -3.82017    -3.91813  0.00967137
         362    -3.80359    -3.91781  0.00964983
         363    -3.91733    -3.91781  0.00962325
         364    -3.98408    -3.91799  0.00959853
         365    -3.86164    -3.91784  0.00957348
         366    -3.89584    -3.91778  0.00954751
         367    -3.92597     -3.9178  0.00952152
         368    -3.90805    -3.91777  0.00949568
         369    -3.87374    -3.91765   0.0094707
         370    -3.84594    -3.91746  0.00944708
         371    -3.88426    -3.91737  0.00942204
         372    -3.94156    -3.91744  0.00939694
         373    -3.92816    -3.91746  0.00937179
         374    -3.91963    -3.91747  0.00934673
         375    -3.84517    -3.91728   0.0093238
         376    -3.88343    -3.91719  0.00929944
         377    -3.83986    -3.91698  0.00927703
         378    -3.89823    -3.91693  0.00925262
         379    -3.80387    -3.91663  0.00923301
         380    -3.85499    -3.91647  0.00921014
         381    -3.84831    -3.91629  0.00918771
         382    -3.71114    -3.91576  0.00917934
         383    -3.74412    -3.91531   0.0091663
         384    -3.85979    -3.91516  0.00914357
         385    -3.79622    -3.91485  0.00912504
