#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         250   0.0152778   0.0152778 5.50978e-11
         251   0.0152778   0.0152778 5.49879e-11
         252   0.0152778   0.0152778 5.48787e-11
         253   0.0152778   0.0152778 5.47701e-11
         254   0.0152778   0.0152778 5.56298e-11
         255   0.0152778   0.0152778 5.55206e-11
         256   0.0152778   0.0152778  5.5412e-11
         257   0.0152778   0.0152778 5.53041e-11
         258   0.0152778   0.0152778 5.51968e-11
         259   0.0152778   0.0152778  5.6032e-11
         260   0.0152778   0.0152778 5.59241e-11
         261   0.0152778   0.0152778 5.58169e-11
         262   0.0152778   0.0152778 5.38212e-11
         263   0.0152778   0.0152778 5.37188e-11
         264   0.0152778   0.0152778 5.06633e-11
         265   0.0152778   0.0152778 4.85027e-11
         266   0.0152778   0.0152778 4.62588e-11
         267   0.0152778   0.0152778 4.61721e-11
         268   0.0152778   0.0152778 4.38364e-11
         269   0.0152778   0.0152778 4.01522e-11
         270   0.0152778   0.0152778 4.00777e-11
         271   0.0152778   0.0152778 3.87334e-11
         272   0.0152778   0.0152778 3.59925e-11
         273   0.0152778   0.0152778 3.59265e-11
         274   0.0152778   0.0152778 3.14521e-11
         275   0.0152778   0.0152778 2.80804e-11
         276   0.0152778   0.0152778 2.80295e-11
         277   0.0152778   0.0152778 2.42304e-11
         278   0.0152778   0.0152778 1.97484e-11
         279   0.0152778   0.0152778  1.9713e-11
         280   0.0152778   0.0152778 9.83889e-12
         281   0.0152778   0.0152778 9.82137e-12
         282   0.0152778   0.0152778 9.80394e-12
         283   0.0152778   0.0152778 1.69509e-11
         284   0.0152778   0.0152778 2.18449e-11
         285   0.0152778   0.0152778 2.18066e-11
         286   0.0152778   0.0152778 2.75351e-11
         287   0.0152778   0.0152778 3.07315e-11
         288   0.0152778   0.0152778 3.06781e-11
         289   0.0152778   0.0152778  3.3548e-11
         290   0.0152778   0.0152778 3.34901e-11
         291   0.0152778   0.0152778 3.61113e-11
         292   0.0152778   0.0152778 3.97245e-11
         293   0.0152778   0.0152778 3.96566e-11
         294   0.0152778   0.0152778 4.18532e-11
         295   0.0152778   0.0152778 4.17822e-11
         296   0.0152778   0.0152778  4.3852e-11
         297   0.0152778   0.0152778 4.58153e-11
         298   0.0152778   0.0152778 4.67221e-11
         299   0.0152778   0.0152778 4.85485e-11
         300   0.0152778   0.0152778 4.84676e-11
         301   0.0152778   0.0152778 5.02135e-11
         302   0.0152778   0.0152778 5.01303e-11
         303   0.0152778   0.0152778 5.18041e-11
         304   0.0152778   0.0152778 5.42432e-11
         305   0.0152778   0.0152778 5.41542e-11
         306   0.0152778   0.0152778 5.48787e-11
         307   0.0152778   0.0152778 5.47893e-11
         308   0.0152778   0.0152778 5.62861e-11
         309   0.0152778   0.0152778 5.61949e-11
         310   0.0152778   0.0152778 5.76416e-11
         311   0.0152778   0.0152778 5.83012e-11
         312   0.0152778   0.0152778 5.96815e-11
         313   0.0152778   0.0152778 5.95861e-11
         314   0.0152778   0.0152778 6.09249e-11
         315   0.0152778   0.0152778 6.08281e-11
         316   0.0152778   0.0152778 6.21281e-11
         317   0.0152778   0.0152778   6.203e-11
         318   0.0152778   0.0152778 6.39635e-11
         319   0.0152778   0.0152778 6.38632e-11
         320   0.0152778   0.0152778 6.50781e-11
         321   0.0152778   0.0152778 6.49767e-11
         322   0.0152778   0.0152778 6.61605e-11
         323   0.0152778   0.0152778  6.6058e-11
         324   0.0152778   0.0152778 6.72124e-11
         325   0.0152778   0.0152778 6.71089e-11
         326   0.0152778   0.0152778  6.8842e-11
         327   0.0152778   0.0152778 6.87367e-11
         328   0.0152778   0.0152778 6.98255e-11
         329   0.0152778   0.0152778 6.97193e-11
         330   0.0152778   0.0152778 7.07837e-11
         331   0.0152778   0.0152778 7.06767e-11
         332   0.0152778   0.0152778 7.17177e-11
         333   0.0152778   0.0152778 7.16099e-11
         334   0.0152778   0.0152778 7.31853e-11
         335   0.0152778   0.0152778  7.3076e-11
         336   0.0152778   0.0152778 7.40645e-11
         337   0.0152778   0.0152778 7.39545e-11
         338   0.0152778   0.0152778 7.49231e-11
         339   0.0152778   0.0152778 7.48125e-11
         340   0.0152778   0.0152778 7.47024e-11
         341   0.0152778   0.0152778 7.56509e-11
         342   0.0152778   0.0152778  7.6063e-11
         343   0.0152778   0.0152778 7.69855e-11
         344   0.0152778   0.0152778 7.68735e-11
         345   0.0152778   0.0152778 7.77787e-11
         346   0.0152778   0.0152778 7.76663e-11
         347   0.0152778   0.0152778 7.75543e-11
         348   0.0152778   0.0152778 7.84421e-11
         349   0.0152778   0.0152778 7.83296e-11
         350   0.0152778   0.0152778 7.96889e-11
         351   0.0152778   0.0152778 7.95753e-11
         352   0.0152778   0.0152778 8.04254e-11
         353   0.0152778   0.0152778 8.03114e-11
         354   0.0152778   0.0152778 8.01979e-11
         355   0.0152778   0.0152778 8.05602e-11
         356   0.0152778   0.0152778  8.0447e-11
         357   0.0152778   0.0152778 8.12738e-11
         358   0.0152778   0.0152778 8.11602e-11
         359   0.0152778   0.0152778 8.10471e-11
         360   0.0152778   0.0152778 8.23181e-11
         361   0.0152778   0.0152778  8.2204e-11
         362   0.0152778   0.0152778 8.29975e-11
         363   0.0152778   0.0152778 8.28831e-11
         364   0.0152778   0.0152778 8.27691e-11
         365   0.0152778   0.0152778 8.35493e-11
         366   0.0152778   0.0152778  8.3435e-11
         367   0.0152778   0.0152778 8.33213e-11
         368   0.0152778   0.0152778 8.40885e-11
         369   0.0152778   0.0152778 8.44108e-11
         370   0.0152778   0.0152778 8.51612e-11
         371   0.0152778   0.0152778 8.50464e-11
         372   0.0152778   0.0152778  8.4932e-11
         373   0.0152778   0.0152778 8.56705e-11
         374   0.0152778   0.0152778 8.55559e-11
         375   0.0152778   0.0152778 8.54418e-11
         376   0.0152778   0.0152778 8.61688e-11
         377   0.0152778   0.0152778 8.60544e-11
         378   0.0152778   0.0152778 8.67709e-11
         379   0.0152778   0.0152778  8.7068e-11
         380   0.0152778   0.0152778 8.69533e-11
         381   0.0152778   0.0152778 8.76546e-11
         382   0.0152778   0.0152778 8.75398e-11
         383   0.0152778   0.0152778 8.74254e-11
         384   0.0152778   0.0152778 8.81162e-11
         385   0.0152778   0.0152778 8.80017e-11
         386   0.0152778   0.0152778 8.78876e-11
         387   0.0152778   0.0152778 8.85684e-11
         388   0.0152778   0.0152778 8.84542e-11
         389   0.0152778   0.0152778 8.83404e-11
         390   0.0152778   0.0152778 8.94009e-11
         391   0.0152778   0.0152778 8.92865e-11
         392   0.0152778   0.0152778 8.91725e-11
         393   0.0152778   0.0152778 8.98301e-11
         394   0.0152778   0.0152778  8.9716e-11
         395   0.0152778   0.0152778 8.96024e-11
         396   0.0152778   0.0152778 9.02508e-11
         397   0.0152778   0.0152778 9.01371e-11
